"";"study.es";"study";"year";"country";"rob";"disorder";"therapy";"patient";"improved.ig";"n.ig";"improved.cg";"n.cg";"plogit.ig";"se.plogit.ig";"plogit.cg";"se.plogit.cg";"logrr";"se.logrr";"reference"
"17";"Clark, 2022 - gsh";"Clark, 2022";2022;"Europe";"low";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";33;34;13;34;3,49650756146648;1,0150384378451;-0,479573080261886;0,35290526284277;0,908855753386637;0,214368388177868;"Clark DM, Wild J, Warnock-Parkes E, Stott R, Grey N, Thew G, et al. More than doubling the clinical benefit of each hour of therapist time: a randomised controlled trial of internet cognitive therapy for social anxiety disorder. Psychological medicine. 2022:1-11."
"18";"Craske, 2014 - cbt";"Craske, 2014";2014;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";29;33;15;25;1,98100146886658;0,53336925166407;0,405465108108164;0,408248290463863;0,370683252753933;0,171312584400088;"Craske MG, Niles AN, Burklund LJ, Wolitzky-Taylor KB, Vilardaga JC, Arch JJ, et al. Randomized controlled trial of cognitive behavioral therapy and acceptance and commitment therapy for social phobia: outcomes and moderators. Journal of consulting and clinical psychology. 2014;82(6):1034-48."
"19";"Craske, 2014 - 3rd";"Craske, 2014";2014;"North America";"high";"Social Anxiety Disorder";"3rd-Wave CBT";"Adults";24;29;15;25;1,56861591791385;0,491596040125088;0,405465108108164;0,408248290463863;0,312121282444087;0,179495025567882;"Craske MG, Niles AN, Burklund LJ, Wolitzky-Taylor KB, Vilardaga JC, Arch JJ, et al. Randomized controlled trial of cognitive behavioral therapy and acceptance and commitment therapy for social phobia: outcomes and moderators. Journal of consulting and clinical psychology. 2014;82(6):1034-48."
"20";"Davidson, 2004";"Davidson, 2004";2004;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";22;60;10;60;-0,54654370636807;0,26789985988841;-1,6094379124341;0,346410161513775;0,762140052046897;0,326534360279083;"Davidson JR, Foa EB, Huppert JD, Keefe FJ, Franklin ME, Compton JS, et al. Fluoxetine, comprehensive cognitive behavioral therapy, and placebo in generalized social phobia. Archives of general psychiatry. 2004;61(10):1005-13."
"21";"Furmark, 2009";"Furmark, 2009";2009;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";9;40;4;40;-1,23676262714893;0,378641222831377;-2,19722457733622;0,52704627669473;0,747214401830221;0,527354400823181;"Furmark T, Carlbring P, Hedman E, Sonnenstein A, Clevberger P, Bohman B, et al. Guided and unguided self-help for social anxiety disorder: randomised controlled trial. The British journal of psychiatry : the journal of mental science. 2009;195(5):440-7."
"22";"Goldin, 2012";"Goldin, 2012";2012;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";11;38;2;37;-0,897941593205959;0,35769557999244;-2,86220088092947;0,72702917999997;1,49973899517768;0,659026425189793;"Goldin PR, Ziv M, Jazaieri H, Werner K, Kraemer H, Heimberg RG, et al. Cognitive reappraisal self-efficacy mediates the effects of individual cognitive-behavioral therapy for social anxiety disorder. Journal of consulting and clinical psychology. 2012;80(6):1034-40."
"23";"Goldin, 2016 - cbt";"Goldin, 2016";2016;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";15;36;3;36;-0,336472236621213;0,338061701891407;-2,39789527279837;0,603022689155527;1,48807705542983;0,543540149573699;"Goldin PR, Morrison A, Jazaieri H, Brozovich F, Heimberg R, Gross JJ. Group CBT versus MBSR for social anxiety disorder: A randomized controlled trial. Journal of consulting and clinical psychology. 2016;84(5):427-37."
"24";"Goldin, 2016 - 3rd";"Goldin, 2016";2016;"North America";"high";"Social Anxiety Disorder";"3rd-Wave CBT";"Adults";11;36;3;36;-0,82098055206983;0,361813613493316;-2,39789527279837;0,603022689155527;1,18958406687384;0,563805185241738;"Goldin PR, Morrison A, Jazaieri H, Brozovich F, Heimberg R, Gross JJ. Group CBT versus MBSR for social anxiety disorder: A randomized controlled trial. Journal of consulting and clinical psychology. 2016;84(5):427-37."
"25";"Gruber, 2001 - cbgt";"Gruber, 2001";2001;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;18;2;18;-0,693147180559945;0,5;-2,07944154167984;0,75;0,955511445027436;0,667636162694956;"Gruber K, Moran PJ, Roth WT, Taylor CB. Computer-assisted cognitive behavioral group therapy for social phobia. Behavior therapy. 2001;32(1):155‐65."
"26";"Gruber, 2001 - cacbgt";"Gruber, 2001";2001;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";4;18;2;18;-1,25276296849537;0,566946709513841;-2,07944154167984;0,75;0,587786664902119;0,717017513115345;"Gruber K, Moran PJ, Roth WT, Taylor CB. Computer-assisted cognitive behavioral group therapy for social phobia. Behavior therapy. 2001;32(1):155‐65."
"27";"He, 2021";"He, 2021";2021;"Other";"high";"Social Anxiety Disorder";"3rd-Wave CBT";"Adults";8;43;0;42;-1,47590651980958;0,391881906409863;-4,44265125649032;1,42250814119453;2,80995648189195;1,43914180722808;"He L, Han W, Shi Z. The Effects of Mindfulness-Based Stress Reduction on Negative Self-Representations in Social Anxiety Disorder—A Randomized Wait-List Controlled Trial. Frontiers in psychiatry. 2021;12."
"28";"Heimberg, 1998";"Heimberg, 1998";1998;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";3;28;3;27;-2,12026353620009;0,611010092660779;-2,07944154167984;0,612372435695794;-0,0357180826020792;0,707090670117128;"Heimberg RG, Liebowitz MR, Hope DA, Schneier FR, Holt CS, Welkowitz LA, et al. Cognitive behavioral group therapy vs phenelzine therapy for social phobia: 12-week outcome. Archives of general psychiatry. 1998;55(12):1133-41."
"29";"Himle, 2014";"Himle, 2014";2014;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;29;3;29;-1,34373474670109;0,458415671128542;-2,15948424935337;0,609749843620211;0,619039208406223;0,609724388056561;"Himle JA, Bybee D, Steinberger E, Laviolette WT, Weaver A, Vlnka S, et al. Work-related CBT versus vocational services as usual for unemployed persons with social anxiety disorder: A randomized controlled pilot trial. Behaviour research and therapy. 2014;63:169-76."
"30";"Hope, 1995 - exp";"Hope, 1995";1995;"North America";"high";"Social Anxiety Disorder";"Exposure";"Adults";2;10;0;10;-1,38629436111989;0,790569415042095;-3,04452243772342;1,44749372891149;1,6094379124341;1,48644670591441;"Hope DA, Heimberg RG, Bruch MA. Dismantling cognitive-behavioral group therapy for social phobia. Behaviour research and therapy. 1995;33(6):637-50."
"31";"Hope, 1995 - cbt";"Hope, 1995";1995;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";2;13;0;10;-1,70474809223843;0,768706114785807;-3,04452243772342;1,44749372891149;1,35812348415319;1,49354873729913;"Hope DA, Heimberg RG, Bruch MA. Dismantling cognitive-behavioral group therapy for social phobia. Behaviour research and therapy. 1995;33(6):637-50."
"32";"Iavaonia, 2016";"Iavaonia, 2016";2016;"Europe";"high";"Social Anxiety Disorder";"3rd-Wave CBT";"Adults";8;37;3;39;-1,28785428830664;0,39935292489312;-2,484906649788;0,600925212577332;0,939262933931614;0,59277164420622;"Ivanova E, Lindner P, Ly KH, Dahlin M, Vernmark K, Andersson G, et al. Guided and unguided Acceptance and Commitment Therapy for social anxiety disorder and/or panic disorder provided via the Internet and a smartphone application: A randomized controlled trial. Journal of anxiety disorders. 2016;44:27-35."
"33";"Johansson, 2017";"Johansson, 2017";2017;"Europe";"low";"Social Anxiety Disorder";"Other Psychological Treatment";"Adults";13;36;6;36;-0,570544858467613;0,346988959179744;-1,6094379124341;0,447213595499958;0,730887508542792;0,416083774464089;"Johansson R, Hesslow T, Ljotsson B, Jansson A, Jonsson L, Fardig S, et al. Internet-based affect-focused psychodynamic therapy for social anxiety disorder: A randomized controlled trial with 2-year follow-up. Psychotherapy (Chicago, Ill). 2017;54(4):351-60."
"34";"Kampmann, 2016 - in vivo";"Kampmann, 2016";2016;"Europe";"high";"Social Anxiety Disorder";"Exposure";"Adults";8;20;1;20;-0,405465108108164;0,456435464587638;-2,94443897916644;1,02597835208515;1,73460105538811;0,82870546630298;"Kampmann IL, Emmelkamp PM, Hartanto D, Brinkman WP, Zijlstra BJ, Morina N. Exposure to virtual social interactions in the treatment of social anxiety disorder: A randomized controlled trial. Behaviour research and therapy. 2016;77:147-56."
"35";"Kampmann, 2016 - vr";"Kampmann, 2016";2016;"Europe";"high";"Social Anxiety Disorder";"Exposure";"Adults";3;20;1;20;-1,73460105538811;0,626224291085149;-2,94443897916644;1,02597835208515;0,847297860387204;0,924564749907326;"Kampmann IL, Emmelkamp PM, Hartanto D, Brinkman WP, Zijlstra BJ, Morina N. Exposure to virtual social interactions in the treatment of social anxiety disorder: A randomized controlled trial. Behaviour research and therapy. 2016;77:147-56."
"36";"Kim, 2022";"Kim, 2022";2022;"Other";"high";"Social Anxiety Disorder";"Exposure";"Young Adults";7;28;1;24;-1,09861228866811;0,436435780471985;-3,13549421592915;1,0215078369105;1,45820694271018;0,850938278708357;"Kim H, Kim BH, Kim MK, Eom H, Kim JJ. Alteration of resting-state functional connectivity network properties in patients with social anxiety disorder after virtual reality-based self-training. Frontiers in Psychiatry. 2022;13."
"37";"Koszycki, 2016";"Koszycki, 2016";2016;"North America";"low";"Social Anxiety Disorder";"3rd-Wave CBT";"Adults";5;21;0;18;-1,16315080980568;0,51234753829798;-3,61091791264422;1,43319714416896;2,24761306974903;1,44265467103432;"Koszycki D, Thake J, Mavounza C, Daoust JP, Taljaard M, Bradwejn J. Preliminary Investigation of a Mindfulness-Based Intervention for Social Anxiety Disorder That Integrates Compassion Meditation and Mindful Exposure. Journal of alternative and complementary medicine (New York, NY). 2016;22(5):363-74."
"38";"Leichsenring, 2013 - cbt";"Leichsenring, 2013";2013;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";82;209;8;79;-0,437467839194338;0,141665584032435;-2,18323833536148;0,372940353196397;1,30376541214246;0,335285527428195;"Leichsenring F, Salzer S, Beutel ME, Herpertz S, Hiller W, Hoyer J, et al. Psychodynamic therapy and cognitive-behavioral therapy in social anxiety disorder: a multicenter randomized controlled trial. The American journal of psychiatry. 2013;170(7):759-67."
"39";"Leichsenring, 2013 - dyn";"Leichsenring, 2013";2013;"Europe";"high";"Social Anxiety Disorder";"Other Psychological Treatment";"Adults";63;207;8;79;-0,826678573184468;0,151054494529161;-2,18323833536148;0,372940353196397;1,05159942439191;0,340583612140921;"Leichsenring F, Salzer S, Beutel ME, Herpertz S, Hiller W, Hoyer J, et al. Psychodynamic therapy and cognitive-behavioral therapy in social anxiety disorder: a multicenter randomized controlled trial. The American journal of psychiatry. 2013;170(7):759-67."
"40";"Mattick, 1989 - cbt";"Mattick, 1989";1989;"Australia";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";4;11;1;10;-0,559615787935423;0,626783170528009;-2,19722457733622;1,05409255338946;1,00764051046238;0,840651099988374;"Mattick RP, Peters L. Treatment of severe social phobia: effects of guided exposure with and without cognitive restructuring. Journal of consulting and clinical psychology. 1988;56(2):251-60."
"41";"Mattick, 1989 - exp";"Mattick, 1989";1989;"Australia";"high";"Social Anxiety Disorder";"Exposure";"Adults";1;11;1;10;-2,30258509299405;1,04880884817015;-2,19722457733622;1,05409255338946;-0,0909717782057266;1,07291132735008;"Mattick RP, Peters L. Treatment of severe social phobia: effects of guided exposure with and without cognitive restructuring. Journal of consulting and clinical psychology. 1988;56(2):251-60."
"42";"Mattick, 1989 - ct";"Mattick, 1989";1989;"Australia";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";3;11;1;10;-0,980829253011726;0,67700320038633;-2,19722457733622;1,05409255338946;0,756326082181477;0,877602606766711;"Mattick RP, Peters L. Treatment of severe social phobia: effects of guided exposure with and without cognitive restructuring. Journal of consulting and clinical psychology. 1988;56(2):251-60."
"43";"Mersch, 1995";"Mersch, 1995";1995;"Europe";"high";"Social Anxiety Disorder";"Other Psychological Treatment";"Adults";1;24;0;10;-3,13549421592915;1,0215078369105;-3,04452243772342;1,44749372891149;0,251314428280906;1,59078981795143;"Mersch PP. The treatment of social phobia: the differential effectiveness of exposure in vivo and an integration of exposure in vivo, rational emotive therapy and social skills training. Behaviour research and therapy. 1995;33(3):259-69."
"44";"Mörtberg, 2007 - ind";"Mörtberg, 2007";2007;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";11;32;4;33;-0,646627164925052;0,372193684159388;-1,98100146886658;0,53336925166407;0,968574988088259;0,498556683761701;"Mortberg E, Clark DM, Sundin O, Aberg Wistedt A. Intensive group cognitive treatment and individual cognitive therapy vs. treatment as usual in social phobia: a randomized controlled trial. Acta psychiatrica Scandinavica. 2007;115(2):142-54."
"45";"Mörtberg, 2007 - grp";"Mörtberg, 2007";2007;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;35;4;33;-1,57553636075842;0,448496850922452;-1,98100146886658;0,53336925166407;0,309737522474968;0,563957991090837;"Mortberg E, Clark DM, Sundin O, Aberg Wistedt A. Intensive group cognitive treatment and individual cognitive therapy vs. treatment as usual in social phobia: a randomized controlled trial. Acta psychiatrica Scandinavica. 2007;115(2):142-54."
"46";"Newman, 1994";"Newman, 1994";1994;"North America";"high";"Social Anxiety Disorder";"Exposure";"Adults";3;15;1;12;-1,38629436111989;0,645497224367903;-2,39789527279837;1,04446593573419;0,632186480770258;0,898813007999269;"Newman MG, Hofmann SG, Trabert W, Roth WT, Taylor CB. Does behavioral treatment of social phobia lead to cognitive changes? Behavior Therapy. 1994;25:503-17."
"47";"Oosterbaan, 2001";"Oosterbaan, 2001";2001;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;24;3;19;-1,09861228866811;0,471404520791032;-1,67397643357167;0,629152869605896;0,390780556425243;0,589459126443705;"Oosterbaan DB, Balkom AJLMv, Spinhoven P, Oppen Pv, Dyck Rv. Cognitive therapy versus moclobemide in social phobia: a controlled study. Clinical Psychology & Psychotherapy. 2001;8(4):263-73."
"48";"Pishyar, 2008";"Pishyar, 2008";2008;"Australia";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";9;16;0;16;0,251314428280906;0,50395263067897;-3,49650756146648;1,43548112513055;2,94443897916644;1,40856346562113;"Pishyar R, Harris LM, Menzies RG. Responsiveness of measures of attentional bias to clinical change in social phobia. Cognition and Emotion. 2008;22:1209-27."
"49";"Rahmani, 2020 - istdp";"Rahmani, 2020";2020;"Other";"high";"Social Anxiety Disorder";"Other Psychological Treatment";"Young Adults";6;14;0;13;-0,287682072451781;0,540061724867322;-3,29583686600433;1,44016459964619;2,49349039347939;1,41802911201805;"Rahmani F, Abbass A, Hemmati A, Ghaffari N, Rezaei Mirghaed S. Challenging the role of challenge in intensive short-term dynamic psychotherapy for social anxiety disorder: A randomized controlled trial. Journal of clinical psychology. 2020;76(12):2123-32."
"50";"Rahmani, 2020 - ib-istdp";"Rahmani, 2020";2020;"Other";"high";"Social Anxiety Disorder";"Other Psychological Treatment";"Young Adults";5;14;0;13;-0,587786664902119;0,557773351022717;-3,29583686600433;1,44016459964619;2,32643630881623;1,42785804283995;"Rahmani F, Abbass A, Hemmati A, Ghaffari N, Rezaei Mirghaed S. Challenging the role of challenge in intensive short-term dynamic psychotherapy for social anxiety disorder: A randomized controlled trial. Journal of clinical psychology. 2020;76(12):2123-32."
"51";"Rapee, 2007 - grp+gsh";"Rapee, 2007";2007;"Australia";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";19;57;8;52;-0,693147180559945;0,280975743474508;-1,70474809223843;0,384353057392904;0,739376523867704;0,363992014624134;"Rapee RM, Abbott MJ, Baillie AJ, Gaston JE. Treatment of social phobia through pure self-help and therapist-augmented self-help. The British journal of psychiatry : the journal of mental science. 2007;191:246-52."
"52";"Rapee, 2007 - grp";"Rapee, 2007";2007;"Australia";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";16;59;8;52;-0,988611393453781;0,292840936266582;-1,70474809223843;0,384353057392904;0,538131074456258;0,377357625725114;"Rapee RM, Abbott MJ, Baillie AJ, Gaston JE. Treatment of social phobia through pure self-help and therapist-augmented self-help. The British journal of psychiatry : the journal of mental science. 2007;191:246-52."
"53";"Reimer, 2015";"Reimer, 2015";2015;"North America";"high";"Social Anxiety Disorder";"Other Psychological Treatment";"Young Adults";3;13;2;12;-1,20397280432594;0,658280588604383;-1,6094379124341;0,774596669241483;0,259511195485084;0,729136620696157;"Reimer SG, Moscovitch DA. The impact of imagery rescripting on memory appraisals and core beliefs in social anxiety disorder. Behaviour research and therapy. 2015;75:48-59."
"54";"Robillard, 2010 - vr";"Robillard, 2010";2010;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";5;14;1;15;-0,587786664902119;0,557773351022717;-2,63905732961526;1,03509833901353;1,36597435862893;0,845578619769452;"Robillard G, Bouchard S, Dumoulin S, Guitard T, Klinger E. Using virtual humans to alleviate social anxiety: Preliminary report from a comparative outcome study. Annual Review of CyberTherapy and Telemedicine. 2010;8(1):46-8."
"55";"Robillard, 2010 - ind";"Robillard, 2010";2010;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";4;16;1;15;-1,09861228866811;0,577350269189626;-2,63905732961526;1,03509833901353;1,03609193168678;0,873937468730212;"Robillard G, Bouchard S, Dumoulin S, Guitard T, Klinger E. Using virtual humans to alleviate social anxiety: Preliminary report from a comparative outcome study. Annual Review of CyberTherapy and Telemedicine. 2010;8(1):46-8."
"56";"Salaberria, 1998 - exp";"Salaberria, 1998";1998;"Europe";"high";"Social Anxiety Disorder";"Exposure";"Adults";6;17;0;20;-0,606135803570316;0,507519218922552;-3,71357206670431;1,43135617084109;2,72317336267643;1,43105653588474;"Salaberria K, Echeburua E. Long-term outcome of cognitive therapy's contribution to self-exposure in vivo to the treatment of generalized social phobia. Behavior modification. 1998;22(3):262-84."
"57";"Salaberria, 1998 - cbt";"Salaberria, 1998";1998;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";5;17;0;20;-0,8754687373539;0,532290647422377;-3,71357206670431;1,43135617084109;2,55611927801326;1,44079659802154;"Salaberria K, Echeburua E. Long-term outcome of cognitive therapy's contribution to self-exposure in vivo to the treatment of generalized social phobia. Behavior modification. 1998;22(3):262-84."
"58";"Schulz, 2016 - ind";"Schulz, 2016";2016;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";26;60;3;29;-0,268263986594679;0,260525052859453;-2,15948424935337;0,609749843620211;1,30612866280579;0,522515936662518;"Schulz A, Stolz T, Vincent A, Krieger T, Andersson G, Berger T. A sorrow shared is a sorrow halved? A three-arm randomized controlled trial comparing internet-based clinician-guided individual versus group treatment for social anxiety disorder. Behaviour research and therapy. 2016;84:14-26."
"59";"Schulz, 2016 - grp";"Schulz, 2016";2016;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";21;60;3;29;-0,619039208406224;0,270665980980383;-2,15948424935337;0,609749843620211;1,09703686494723;0,530847137052355;"Schulz A, Stolz T, Vincent A, Krieger T, Andersson G, Berger T. A sorrow shared is a sorrow halved? A three-arm randomized controlled trial comparing internet-based clinician-guided individual versus group treatment for social anxiety disorder. Behaviour research and therapy. 2016;84:14-26."
"60";"Schweden, 2016";"Schweden, 2016";2016;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;20;1;20;-0,847297860387204;0,487950036474267;-2,94443897916644;1,02597835208515;1,46633706879343;0,850265749576604;"Schweden TLK, Pittig A, Brauer D, Klumbies E, Kirschbaum C, Hoyer J. Reduction of depersonalization during social stress through cognitive therapy for social anxiety disorder: A randomized controlled trial. Journal of anxiety disorders. 2016;43:99-105."
